Latitude, Longitude,Location,StationID
40.7152561007,-74.0376649783,Grand St,100
40.7164706135,-74.0409454012,York St,110
40.7177223148,-74.0439179821,City Hall,120
40.7194722155,-74.0509438064,Montgomery St,130
40.7241359102,-74.0506611641,Brunswick St,140
40.7260144579,-74.0503711466,Brunswick & 6th,150
40.7256857279,-74.0488656996,Monmouth and 6th,160
40.7110678798,-74.0789352196,Jackson Square,170
40.7459562266,-74.0573191416,Leonard Gordon Park,180
40.7124476111,-74.038406334,Morris Canal,190
