Name,Market Cap (GBP$ Billion)
JPMorgan Chase,286.319
Industrial and Commercial Bank of China,252.834
Bank of America,238.272
Wells Fargo,225.588
China Construction Bank,188.519
HSBC Holdings PLC,160.593
Agricultural Bank of China,148.856
Citigroup Inc.,148.798
Bank of China,132.908
China Merchants Bank,89.804
Royal Bank of Canada,89.766
Banco Santander,84.736
Commonwealth Bank,82.195
Mitsubishi UFJ Financial Group,81.78
Toronto-Dominion Bank,79.428
BNP Paribas,75.626
Goldman Sachs,73.756
Sberbank of Russia,73.123
Morgan Stanley,72.984
U.S. Bancorp,69.254
HDFC Bank,64.77
Itaú Unibanco,63.135
Westpac,61.932
Scotiabank,57.821
ING Group,57.801
UBS,55.283
Charles Schwab,54.384
PNC Financial Services,52.913
Lloyds Banking Group,52.186
Sumitomo Mitsui Financial Group,49.311
Bank of Communications,49.128
Australia and New Zealand Banking Group,48.666
Banco Bradesco,47.471
National Australia Bank,46.723
Intesa Sanpaolo,45.432
Banco Bilbao Vizcaya Argentaria,44.44
Japan Post Bank,44.328
The Bank of New York Mellon,43.814
Shanghai Pudong Development Bank,43.062
Industrial Bank (China),42.031
Bank of China (Hong Kong),40.611
Bank of Montreal,38.95
Crédit Agricole,38.188
DBS Bank,37.7
Nordea,37.488
Capital One,37.431
NatWest Group,36.979
Mizuho Financial Group,36.633
Credit Suisse,35.493
Postal Savings Bank of China,35.117
China Minsheng Bank,35.097
UniCredit,34.992
China CITIC Bank,34.753
Hang Seng Bank,33.816
Société Générale,33.728
Barclays,33.58
Canadian Imperial Bank of Commerce,31.892
Bank Central Asia,31.745
Truist Financial,30.704
Oversea-Chinese Banking Corp,30.293
State Bank of India,29.708
State Street,29.127
Deutsche Bank,28.306
KBC Bank,28.12
Danske Bank,27.994
Ping An Bank,27.826
Standard Chartered,27.332
United Overseas Bank,25.728
QNB Group,24.579
Bank Rakyat,24.228
